,id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,ZonePrize,RankPrize,bets,BetPrize
79,79,ufo,uncommon,29,19,1,0,5.0872050000000000,3052.323,600,600,23,2300,0,676794,363,1779.610144061113,1779.610144061113,2.966016906768522,5,,,600.000000000000000000,
80,80,wheeee,rare,29,29,1,0,8.4156133333333333,1262.342,150,150,33,3000,1,30767,11,225.13872418188112,225.13872418188112,1.5009248278792073,37,,,,
81,81,owl,epic,24,29,1,200.000000000000000000,16.6888200000000000,834.441,50,50,18,18000,3,2948498,619,2103.380344078432,2103.380344078432,42.067606881568636,3,,,1100.000000000000000000,221.8181818181818
83,83,ape,epic,29,24,1,0,14.5383200000000000,726.916,50,50,23,13480.000000000000000000,2,1051111,312,3674.014693157109,3674.014693157109,73.48029386314218,2,,,400.000000000000000000,164
84,84,ghost,epic,29,24,1,0,18.8775000000000000,943.875,50,50,29,19000,1,290966,140,415.0077533482804,415.0077533482804,8.300155066965608,26,,,100.000000000000000000,
85,85,diver,rare,29,29,1,0,7.4865866666666667,1122.988,150,150,13,4335.400000000000000000,1,154202,74,1020.3028329852507,1020.3028329852507,6.802018886568338,10,,,,
86,86,cobra,legendary,29,29,1,0,28.3733000000000000,283.733,10,10,28,102000.000000000000000000,1,434216,106,1073.446428949619,1073.446428949619,107.34464289496191,9,,,,
87,87,clock,common,29,29,1,0,2.3702878787878788,4223.853,1782,2000,27,116.800000000000000000,0,26564,43,17.80242154589452,17.80242154589452,0.009990135547640023,59,,,,
88,88,ladybug,rare,29,29,1,0,9.2152466666666667,1382.287,150,150,30,5530.000000000000000000,0,94378,74,334.9612311922325,334.9612311922325,2.2330748746148834,29,,,,
89,89,dragon,epic,29,24,1,100.000000000000000000,15.3191200000000000,765.956,50,50,23,13000,0,120093,61,170.97375598897787,170.97375598897787,3.419475119779557,39,,,100.000000000000000000,
90,90,virus,common,29,24,1,0,2.3611150000000000,4722.230,2000,2000,15,143.000000000000000000,1,107025,95,489.334628329054,489.334628329054,0.244667314164527,21,,,,
91,91,cougar,rare,29,29,1,0,8.3407200000000000,1251.108,150,150,29,3040.000000000000000000,0,391377,213,287.57391979926103,287.57391979926103,1.917159465328407,34,,,,
92,92,botroyale,legendary,29,29,1,0,12.5646000000000000,125.646,10,10,15,60000,0,1442,1,78.32185565942396,78.32185565942396,7.832185565942396,49,,,,
93,93,mummy,epic,29,19,1,0,12.3645400000000000,618.227,50,50,14,15571.600000000000000000,1,395884,356,1726.4051885803542,1726.4051885803542,34.528103771607086,6,,,,
94,94,frankie,rare,29,29,1,0,5.7134933333333333,857.024,150,150,20,2900,1,161857,91,641.0406996497056,641.0406996497056,4.273604664331371,16,,,,
