id,rarity,on_sale_price,filename,name,nft_id,on_sale_since,tax,supply_max,supply_circulating,ordinal,kills,wins,boosts,boosts2
3291,uncommon,700,cute,cute,,2023-03-13T23:10:28.879Z,35.00,724,724,482,454,161,6.57,0
59280,rare,5571.428571428,cougar,cougar,,2023-03-12T20:44:16.207Z,278.57142857140,150,150,124,7411,3810,651.96,4420
60831,common,780,virus,virus,,2023-03-15T23:51:06.219Z,39.00,2000,2000,1242,0,0,0,0
15959,uncommon,855,cute,cute,,2023-03-13T08:26:34.871Z,42.75,724,724,911,419,174,4.95,0
50322,rare,5000,floater,floater,,2023-02-26T06:48:11.775Z,250.00,150,150,58,581,282,10.55,0
43125,uncommon,5000,revolver,revolver,,2023-03-14T22:51:05.568Z,250.00,600,600,61,1973,798,20.54,0
63120,common,800,vase,vase,,2023-03-15T18:04:18.169Z,40.00,2000,2000,1287,1,0,0,0
60604,uncommon,3500,casinochip,casinochip,,2023-03-14T15:00:57.245Z,175.00,600,600,424,24,14,0.66,0
54873,rare,5000,floater,floater,,2023-02-26T06:51:40.740Z,250.00,150,150,120,112,58,1.06,0
45777,rare,3500,peach,peach,,2023-03-07T01:01:18.757Z,175.00,100,100,46,5743,2302,82.39,0
60995,common,780,virus,virus,,2023-03-15T23:51:02.378Z,39.00,2000,2000,1305,0,0,0,0
57264,common,3000,football,football,,2023-03-15T15:27:01.418Z,150.00,2000,2000,1033,406,186,68.32,6730
61097,common,780,virus,virus,,2023-03-15T23:50:58.441Z,39.00,2000,2000,1346,0,0,0,0
63061,common,525,clock,clock,,2023-03-15T18:05:36.303Z,26.25,2000,2000,1349,8,5,0,0
3500,epic,12500,baseball,baseball,,2023-03-07T18:36:25.928Z,625.00,70,70,19,3487,1393,20.96,0
48767,rare,30000,gamer,gamer,,2022-12-27T05:51:29.797Z,1500.00,100,100,69,0,0,0,0
53547,rare,10000,diver,diver,,2023-01-09T21:33:27.816Z,500.00,150,150,150,289,137,7.87,0
61616,uncommon,3500,casinochip,casinochip,,2023-03-14T15:05:04.141Z,175.00,600,600,577,24,14,1.2,0
56358,rare,28000,ladybug,ladybug,,2023-02-14T11:29:19.772Z,1400.00,150,150,1,15979,8619,4148.65,22390
55804,uncommon,700,panda,panda,,2023-03-16T00:29:29.797Z,35.00,600,600,405,98,52,9.38,270
62282,common,1000,saturn,saturn,,2023-03-15T18:06:36.647Z,50.00,2000,2000,1391,7,4,0,0
65743,common,170,vase,vase,,2023-03-15T10:21:05.132Z,8.50,2000,2000,1437,0,0,0,0
64989,epic,13500,mummy,mummy,,2023-03-09T09:12:07.481Z,675.00,50,50,35,11,6,0,850
11882,rare,2500,melon,melon,,2022-11-22T19:07:23.034Z,125.00,272,272,153,738,315,8.11,0
41814,rare,4200,jackolantern,jackolantern,,2022-12-06T12:41:46.140Z,210.00,150,150,33,2093,901,73.51,0
4854,rare,3000,eyeball,eyeball,,2022-01-24T00:07:49.795Z,150.00,289,289,179,0,0,0,0
46950,common,200,alien,alien,,2023-03-15T13:53:37.824Z,10.00,2000,2000,1677,36,8,1.39,0
