rarity,name,date,on_sale_price
rare,burger,2022-11-07,"4000,0"
common,button,2022-11-07,"108,0"
rare,candyswirl,2022-11-07,"4200,0"
uncommon,casinochip,2022-11-07,"700,0"
uncommon,cat,2022-11-07,"1000,0"
rare,cherry,2022-11-07,"2500,0"
epic,citrus,2022-11-07,"9500,0"
common,clock,2022-11-07,"140,0"
rare,coconut,2022-11-07,"1400,0"
rare,cougar,2022-11-07,"2700,0"
legendary,crlogo,2022-11-07,"80000,0"
common,crosshair,2022-11-07,"500,0"
uncommon,cute,2022-11-07,"530,0"
uncommon,derp,2022-11-07,"1300,0"
epic,devil,2022-11-07,"8000,0"
epic,discoball,2022-11-07,"9000,0"
epic,disguise,2022-11-07,"8000,0"
rare,diver,2022-11-07,"4500,0"
uncommon,dog,2022-11-07,"490,0"
uncommon,donut,2022-11-07,"350,0"
epic,dragon,2022-11-07,"12900,0"
rare,egg,2022-11-07,"12000,0"
rare,eyeball,2022-11-07,"1300,0"
epic,eyeball2,2022-11-07,"7800,0"
uncommon,fishcake,2022-11-07,"400,0"
rare,floater,2022-11-07,"5555,0"
uncommon,fox,2022-11-07,"650,0"
legendary,fox777,2022-11-07,"200000,0"
rare,frankie,2022-11-07,"2852,38"
rare,gamer,2022-11-07,"9523,809"
epic,ghost,2022-11-07,"23000,0"
rare,jackolantern,2022-11-07,"2000,0"
rare,ladybug,2022-11-07,"5600,0"
rare,marble,2022-11-07,"1650,0"
rare,melon,2022-11-07,"1349,0"
legendary,moneybag,2022-11-07,"80000,0"
uncommon,moon,2022-11-07,"2899,0"
epic,mummy,2022-11-07,"16358,0"
rare,ninja,2022-11-07,"5000,0"
uncommon,opencan,2022-11-07,"660,0"
epic,owl,2022-11-07,"17000,0"
uncommon,panda,2022-11-07,"530,0"
rare,peach,2022-11-07,"2850,0"
rare,pizza,2022-11-07,"4150,0"
epic,potion,2022-11-07,"10000,0"
uncommon,racoon,2022-11-07,"450,0"
uncommon,revolver,2022-11-07,"640,0"
epic,royman,2022-11-07,"11900,0"
common,saturn,2022-11-07,"130,0"
epic,shades,2022-11-07,"11000,0"
uncommon,skull,2022-11-07,"1600,0"
rare,skullpatch,2022-11-07,"2500,0"
epic,snowman,2022-11-07,"11500,0"
common,soccerball,2022-11-07,"179,0"
common,starball,2022-11-07,"104,0"
epic,tamagochi,2022-11-07,"8750,0"
uncommon,target,2022-11-07,"380,0"
uncommon,tomato,2022-11-07,"375,0"
uncommon,ufo,2022-11-07,"1800,0"
common,vase,2022-11-07,"140,0"
common,virus,2022-11-07,"130,0"
common,volleyball,2022-11-07,"150,0"
uncommon,waffle,2022-11-07,"380,0"
